Code,Yahoo ticker,Name,Market,Asset type,Industry,Price observations,In price database,Backtest ready
00400A,00400A.TW,主動國泰動能高息,上市,ETF,主動式 ETF,87,True,False
00401A,00401A.TW,主動摩根台灣鑫收,上市,ETF,主動式 ETF,87,True,False
00402A,00402A.TW,主動安聯美國科技,上市,ETF,主動式 ETF,59,True,False
00403A,00403A.TW,主動統一升級50,上市,ETF,主動式 ETF,81,True,False
00404A,00404A.TW,主動聯博動能50,上市,ETF,主動式 ETF,63,True,False
00405A,00405A.TW,主動富邦台灣龍耀,上市,ETF,主動式 ETF,63,True,False
00406A,00406A.TW,主動中信台灣收益,上市,ETF,主動式 ETF,59,True,False
00407A,00407A.TW,主動凱基台灣,上市,ETF,主動式 ETF,49,True,False
00408A,00408A.TW,主動第一金優股息,上市,ETF,主動式 ETF,38,True,False
00410A,00410A.TW,主動永豐科技趨勢,上市,ETF,主動式 ETF,19,True,False
00980A,00980A.TW,主動野村臺灣優選,上市,ETF,主動式 ETF,332,True,True
00981A,00981A.TW,主動統一台股增長,上市,ETF,主動式 ETF,312,True,True
00982A,00982A.TW,主動群益台灣強棒,上市,ETF,主動式 ETF,316,True,True
00983A,00983A.TW,主動中信ARK創新,上市,ETF,主動式 ETF,298,True,True
00984A,00984A.TW,主動安聯台灣高息,上市,ETF,主動式 ETF,278,True,True
00985A,00985A.TW,主動野村台灣50,上市,ETF,主動式 ETF,278,True,True
00986A,00986A.TW,主動台新龍頭成長,上市,ETF,主動式 ETF,250,True,False
00987A,00987A.TW,主動台新優勢成長,上市,ETF,主動式 ETF,168,True,False
00988A,00988A.TW,主動統一全球創新,上市,ETF,主動式 ETF,206,True,False
00989A,00989A.TW,主動摩根美國科技,上市,ETF,主動式 ETF,209,True,False
00990A,00990A.TW,主動元大AI新經濟,上市,ETF,主動式 ETF,176,True,False
00991A,00991A.TW,主動復華未來50,上市,ETF,主動式 ETF,169,True,False
00992A,00992A.TW,主動群益科技創新,上市,ETF,主動式 ETF,168,True,False
00993A,00993A.TW,主動安聯台灣,上市,ETF,主動式 ETF,138,True,False
00994A,00994A.TW,主動第一金台股優,上市,ETF,主動式 ETF,156,True,False
00995A,00995A.TW,主動中信台灣卓越,上市,ETF,主動式 ETF,145,True,False
00996A,00996A.TW,主動兆豐台灣豐收,上市,ETF,主動式 ETF,106,True,False
00997A,00997A.TW,主動群益美國增長,上市,ETF,主動式 ETF,87,True,False
00999A,00999A.TW,主動野村臺灣高息,上市,ETF,主動式 ETF,87,True,False
00680L,00680L.TW,元大美債20正2,上市,ETF,債券 ETF,2324,True,True
00681R,00681R.TW,元大美債20反1,上市,ETF,債券 ETF,2324,True,True
00688L,00688L.TW,國泰20年美債正2,上市,ETF,債券 ETF,2287,True,True
00689R,00689R.TW,國泰20年美債反1,上市,ETF,債券 ETF,2287,True,True
00710B,00710B.TW,復華彭博非投等債,上市,ETF,債券 ETF,2197,True,True
00711B,00711B.TW,復華彭博新興債,上市,ETF,債券 ETF,2197,True,True
00775B,00775B.TW,台新投等債15+,上市,ETF,債券 ETF,1837,True,True
00865B,00865B.TW,國泰US短期公債,上市,ETF,債券 ETF,1648,True,True
00945B,00945B.TW,凱基美國非投等債,上市,ETF,債券 ETF,560,True,True
00953B,00953B.TW,群益優選非投等債,上市,ETF,債券 ETF,496,True,True
00982D,00982D.TW,主動富邦動態入息,上市,ETF,債券 ETF,209,True,False
00983D,00983D.TW,主動富邦複合收益,上市,ETF,債券 ETF,209,True,False
00984D,00984D.TW,主動聯博全球非投,上市,ETF,債券 ETF,138,True,False
00985B,00985B.TW,群益ESG投等債0-5,上市,ETF,債券 ETF,234,True,False
00991B,00991B.TW,貝萊德A級公司債,上市,ETF,債券 ETF,19,True,False
0050,0050.TW,元大台灣50,上市,ETF,台灣股票 ETF,3575,True,True
0051,0051.TW,元大中型100,上市,ETF,台灣股票 ETF,3575,True,True
0052,0052.TW,富邦科技,上市,ETF,台灣股票 ETF,3575,True,True
0053,0053.TW,元大電子,上市,ETF,台灣股票 ETF,3579,True,True
0055,0055.TW,元大MSCI金融,上市,ETF,台灣股票 ETF,3579,True,True
0056,0056.TW,元大高股息,上市,ETF,台灣股票 ETF,3575,True,True
0057,0057.TW,富邦摩台,上市,ETF,台灣股票 ETF,3579,True,True
0061,0061.TW,元大寶滬深,上市,ETF,台灣股票 ETF,3579,True,True
006203,006203.TW,元大MSCI台灣,上市,ETF,台灣股票 ETF,3579,True,True
006204,006204.TW,永豐臺灣加權,上市,ETF,台灣股票 ETF,3579,True,True
006208,006208.TW,富邦台50,上市,ETF,台灣股票 ETF,3466,True,True
00690,00690.TW,兆豐藍籌30,上市,ETF,台灣股票 ETF,2290,True,True
00692,00692.TW,富邦公司治理,上市,ETF,台灣股票 ETF,2262,True,True
00701,00701.TW,國泰股利精選30,上市,ETF,台灣股票 ETF,2197,True,True
00713,00713.TW,元大台灣高息低波,上市,ETF,台灣股票 ETF,2167,True,True
00728,00728.TW,第一金工業30,上市,ETF,台灣股票 ETF,1991,True,True
00730,00730.TW,富邦臺灣優質高息,上市,ETF,台灣股票 ETF,2080,True,True
00731,00731.TW,復華富時高息低波,上市,ETF,台灣股票 ETF,1991,True,True
00733,00733.TW,臺灣中小A級動能50 ETF基金,上市,ETF,台灣股票 ETF,1991,True,True
00850,00850.TW,元大臺灣ESG永續,上市,ETF,台灣股票 ETF,1708,True,True
00878,00878.TW,國泰永續高股息,上市,ETF,台灣股票 ETF,1491,True,True
00881,00881.TW,國泰台灣科技龍頭,上市,ETF,台灣股票 ETF,1391,True,True
00891,00891.TW,中信關鍵半導體,上市,ETF,台灣股票 ETF,1284,True,True
00892,00892.TW,富邦台灣半導體,上市,ETF,台灣股票 ETF,1268,True,True
