Code,Yahoo ticker,Name,Full name,Industry code,Issued shares,Market,Industry,Asset type,Fund type,Detailed industry,Investment theme,Supply-chain role
00400A,00400A.TW,主動國泰動能高息,國泰台股動能高息主動式ETF證券投資信託基金,ETF,1976140000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00401A,00401A.TW,主動摩根台灣鑫收,摩根台灣鑫收益主動式ETF證券投資信託基金,ETF,238895000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00402A,00402A.TW,主動安聯美國科技,安聯美國科技領航主動式ETF證券投資信託基&#63754;,ETF,709127000,上市,主動式 ETF,ETF,國外成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00403A,00403A.TW,主動統一升級50,統一台股升級50主動式ETF證券投資信託基金,ETF,16813519000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00404A,00404A.TW,主動聯博動能50,聯博台灣動能收益50主動式ETF證券投資信託基金,ETF,347795000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00405A,00405A.TW,主動富邦台灣龍耀,富邦台灣龍耀主動式ETF證券投資信託基金,ETF,3442745000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00406A,00406A.TW,主動中信台灣收益,中國信託台灣收益成長主動式ETF證券投資信託基金,ETF,2788562000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00407A,00407A.TW,主動凱基台灣,凱基台灣主動式ETF證券投資信託基金,ETF,2809239000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00408A,00408A.TW,主動第一金優股息,第一金台股趨勢優股息主動式ETF證券投資信託基金,ETF,152634000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
00410A,00410A.TW,主動永豐科技趨勢,永豐台灣科技趨勢主動式ETF證券投資信託基&#63754;,ETF,141360000,上市,主動式 ETF,ETF,國內成分證券主動式交易所交易基金(股票),主動式 ETF,主動式 ETF,ETF 投資工具
