Industry,Constituents,1D net value,5D net value,20D net value,Foreign 1D value,Trust 1D value,Dealer 1D value,Foreign 5D value,Trust 5D value,Dealer 5D value,Foreign 20D value,Trust 20D value,Dealer 20D value,Market cap proxy,1D return,5D return,20D return,1D positive breadth,5D positive breadth,20D positive breadth,1D flow intensity,5D flow intensity,20D flow intensity,Trust 1D intensity,Trust 5D intensity,Trust 20D intensity,Positive flow breadth,Flow score,Stage,Leading stocks,Dominant investor,Dominant flow value,Flow acceleration,Top 3 concentration,Research action,Flow reason,Signal date
航運業,34,1248912924.7577305,6303276143.514372,9117600012.777145,325506427.6110668,947918191.753006,-24511694.606342316,3072932917.196415,2597077619.539366,633265606.7785912,2476111109.3632445,6093741188.593107,547747714.8207932,2119788657712.8235,-0.002754121712462659,0.003336509942899625,-0.007038116044993861,0.5588235294117647,0.7058823529411765,0.5588235294117647,0.0005891686042443793,0.0029735398953947526,0.004301183506951448,0.0004471758013724708,0.0012251587487695683,0.0028746927984641814,0.5588235294117647,85.85365853658539,資金累積、價格未確認,2609.TW、2618.TW、2603.TW,投信,6093741188.593107,4023876140.3200855,0.5704348017103215,等待價格轉強與流入廣度擴大,投信主導淨流入（20日 +60.9億）；近5日相較20日均速加速；流入廣度 56%；前三大帶動標的占絕對流量 57%；價格尚未確認（20日 -0.7%）。主要標的：2609.TW、2618.TW、2603.TW。,2026-09-23
光電業,116,-11832464869.981964,1542613703.7197456,14078803604.32299,-10975659338.369701,-364450709.9097519,-492354821.7025099,-4149566150.1354666,2143031510.7012749,3549148343.1539383,-1953658176.2512417,13759932600.051958,2272529180.522273,2782498064547.5386,-0.00768477656310679,0.03361196813893203,0.027607764890447074,0.3793103448275862,0.49137931034482757,0.41379310344827586,-0.004252461132225814,0.0005543988415929374,0.005059771211956743,-0.00013097968137096085,0.0007701825701178889,0.00494517238857072,0.41379310344827586,84.6341463414634,資金累積＋價格確認,2409.TW、6278.TW、6168.TW,投信,13759932600.051958,-1977087197.361002,0.5655303854630985,優先研究領先股，分批而非追價,投信主導淨流入（20日 +137.6億）；近5日相較20日均速減速；流入廣度 41%；前三大帶動標的占絕對流量 57%；價格已確認（20日 +2.8%）。主要標的：2409.TW、6278.TW、6168.TW。,2026-09-23
槓桿／反向 ETF,34,1128863340.0443094,21202450273.22012,30901815013.4462,-15653843.997001648,0.0,1144517184.041311,2288926102.2633505,0.0,18913524170.956768,-761985634.7540774,0.0,31663800648.200275,486933058116.3158,0.0017961449252189695,0.007544319035280519,0.009522184376694358,0.38235294117647056,0.7647058823529411,0.6764705882352942,0.002318313208002922,0.0435428441750106,0.06346214227678203,0.0,0.0,0.0,0.6764705882352942,84.14634146341464,資金累積＋價格確認,00715L.TW、00663L.TW、00685L.TW,自營商,31663800648.200275,13476996519.85857,0.8354755483095769,優先研究領先股，分批而非追價,自營商主導淨流入（20日 +316.6億）；近5日相較20日均速加速；流入廣度 68%；前三大帶動標的占絕對流量 84%；價格已確認（20日 +1.0%）。主要標的：00715L.TW、00663L.TW、00685L.TW。,2026-09-23
主動式 ETF,34,10668935441.194622,38093955611.894806,47359485311.96206,5327460769.42537,0.0,5341474671.769252,24718537131.154118,49488081.44378662,13325930399.296898,37127576014.89662,-34535718.38283539,10266445015.448269,948126602714.2697,0.019116692814142116,0.05773705318113308,0.034461193715310666,0.8823529411764706,0.9117647058823529,0.7647058823529411,0.011252648549942486,0.04017813180522572,0.04995059222722228,0.0,5.2195646975956123e-05,-3.642521819761994e-05,0.7647058823529411,82.6829268292683,資金累積＋價格確認,00982A.TW、00992A.TW、00980A.TW,外資,37127576014.89662,26254084283.90429,0.6406098899425332,優先研究領先股，分批而非追價,外資主導淨流入（20日 +371.3億）；近5日相較20日均速加速；流入廣度 76%；前三大帶動標的占絕對流量 64%；價格已確認（20日 +3.4%）。主要標的：00982A.TW、00992A.TW、00980A.TW。,2026-09-23
資訊服務業,45,92432005.01850128,859583293.7205486,784015650.1883163,103590750.66046906,192014.5,-11350760.141967773,854189803.3014565,3614.5,5389875.919092178,782587033.850111,33528897.5,-32100281.161794662,241227900546.74857,-0.004985824876529234,0.006652978661714408,0.053749721274747045,0.4222222222222222,0.6888888888888889,0.6222222222222222,0.00038317294479204943,0.003563365977866919,0.0032501035262145336,7.959879415473697e-07,1.4983755990943225e-08,0.00013899261828339917,0.6222222222222222,81.21951219512195,資金累積＋價格確認,6214.TW、2480.TW、2471.TW,外資,782587033.850111,663579381.1734695,0.6620508931513965,優先研究領先股，分批而非追價,外資主導淨流入（20日 +7.8億）；近5日相較20日均速加速；流入廣度 62%；前三大帶動標的占絕對流量 66%；價格已確認（20日 +5.4%）。主要標的：6214.TW、2480.TW、2471.TW。,2026-09-23
其他電子業,95,5381955290.844751,10722370899.93552,16260061882.419355,3967094703.925173,499393034.3045006,915467552.615078,4892626859.851129,3193050929.39427,2636693110.6901217,7419599418.83016,6691205804.247967,2149256659.3412275,7056906150795.677,0.002709840873528931,0.03660633408091162,0.03160632694539028,0.5894736842105263,0.6526315789473685,0.5052631578947369,0.0007626508240070513,0.001519415260854299,0.0023041346356272585,7.076656875310624e-05,0.00045247178595881547,0.0009481783746682706,0.5052631578947369,80.73170731707317,資金累積＋價格確認,3324.TWO、2404.TW、7792.TWO,外資,7419599418.83016,6657355429.330681,0.5665246220953372,優先研究領先股，分批而非追價,外資主導淨流入（20日 +74.2億）；近5日相較20日均速加速；流入廣度 51%；前三大帶動標的占絕對流量 57%；價格已確認（20日 +3.2%）。主要標的：3324.TWO、2404.TW、7792.TWO。,2026-09-23
水泥工業,7,985758905.7943707,1699082419.8556461,944810355.1650152,956926701.2984676,5477600.135803223,23354604.360099792,1537832875.6447296,73392644.9786911,87856899.23222542,501413234.0954008,393732970.15935135,49664150.91026306,367373557483.02203,0.00796786555184692,0.010425331172893728,-0.013688010546822766,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.002683260364594768,0.004624944787797277,0.002571797386938169,1.4910164393245334e-05,0.00019977661288832118,0.0010717509797300735,0.2857142857142857,80.2439024390244,資金累積、價格未確認,1102.TW、1101.TW、1103.TW,外資,501413234.0954008,1462879831.0643923,0.9784724787596719,等待價格轉強與流入廣度擴大,外資主導淨流入（20日 +5.0億）；近5日相較20日均速加速；流入廣度 29%；前三大帶動標的占絕對流量 98%；價格尚未確認（20日 -1.4%）。主要標的：1102.TW、1101.TW、1103.TW。,2026-09-23
油電燃氣,12,316988892.2856407,1654177207.5169144,468506489.3030577,281014549.9270859,27092500.946044922,8881841.412509918,876842629.2534523,649934796.1905212,127399782.07294083,-1624138805.8398876,1964497785.5598297,128147509.58311558,969036959933.4818,-0.0028035670797448933,0.01187680475948491,0.01945425486134203,0.25,0.75,0.9166666666666666,0.0003271174427726678,0.0017070321111699012,0.0004834763880783429,2.7958170912185486e-05,0.0006707017617110653,0.0020272681711693227,0.9166666666666666,78.78048780487804,資金累積＋價格確認,6505.TW、8931.TWO、8927.TWO,投信,1964497785.5598297,1537050585.19115,0.9786486791669854,優先研究領先股，分批而非追價,投信主導淨流入（20日 +19.6億）；近5日相較20日均速加速；流入廣度 92%；前三大帶動標的占絕對流量 98%；價格已確認（20日 +1.9%）。主要標的：6505.TW、8931.TWO、8927.TWO。,2026-09-23
金融保險,40,-1093783423.9282799,3131048377.6175833,51840095229.23258,-1840207418.2760763,511637167.3587389,234786826.98905754,2895067623.2259483,-1432436068.611699,1668416823.003334,30248427958.96926,20083056814.171726,1508610456.091591,13348659077235.455,-0.005191125531633733,0.005411507839223767,0.08060037155872866,0.375,0.675,0.825,-8.193957292636209e-05,0.00023455901896222764,0.003883543277964127,3.83287313278736e-05,-0.00010730936046262114,0.0015044999425014144,0.825,77.5609756097561,資金累積＋價格確認,2855.TW、6026.TWO、2892.TW,外資,30248427958.96926,-9828975429.690563,0.4146778906577275,優先研究領先股，分批而非追價,外資主導淨流入（20日 +302.5億）；近5日相較20日均速減速；流入廣度 82%；前三大帶動標的占絕對流量 41%；價格已確認（20日 +8.1%）。主要標的：2855.TW、6026.TWO、2892.TW。,2026-09-23
半導體業,207,22636880237.545967,218441330632.4575,141020461275.26416,28965361718.619545,-5771372669.683273,-557108811.3903046,188862713508.66708,1679900518.211441,27898716605.57898,90788990356.75385,16049555194.301346,34181915724.20896,94184519419051.95,0.0036304688713322437,0.05258613142817241,0.04565662191321146,0.42995169082125606,0.6231884057971014,0.4830917874396135,0.00024034608210749022,0.0023192912378790613,0.0014972785564454246,-6.127729594292352e-05,1.783627000035024e-05,0.00017040544766059283,0.4830917874396135,76.58536585365854,資金累積＋價格確認,3105.TWO、2449.TW、8150.TW,外資,90788990356.75385,183186215313.64145,0.32626171559509237,優先研究領先股，分批而非追價,外資主導淨流入（20日 +907.9億）；近5日相較20日均速加速；流入廣度 48%；前三大帶動標的占絕對流量 33%；價格已確認（20日 +4.6%）。主要標的：3105.TWO、2449.TW、8150.TW。,2026-09-23
